code,term,dmd_id,dmd_type,bnf_code
29993711000001105,Amoxicillin 3g oral powder sachets sugar free,29993711000001105,AMP,0501013B0AAAHAH
38788311000001108,Amoxicillin 3g oral powder sachets sugar free,38788311000001108,AMP,0501013B0AAAHAH
18081411000001108,Amoxicillin 3g oral powder sachets sugar free,18081411000001108,AMP,0501013B0AAAHAH
29765411000001108,Amoxicillin 3g oral powder sachets sugar free,29765411000001108,AMP,0501013B0AAAHAH
3243811000001105,Amoxicillin 3g oral powder sachets sugar free,3243811000001105,AMP,0501013B0AAAHAH
21766011000001101,Amoxicillin 3g oral powder sachets sugar free,21766011000001101,AMP,0501013B0AAAHAH
35368511000001109,Amoxicillin 125mg/1.25ml oral suspension paediatric,35368511000001109,VMP,0501013B0AAAIAI
323732002,Amoxicillin 125mg/5ml oral suspension,323732002,VMP,0501013B0AAAJAJ
634511000001102,Amoxicillin 125mg/5ml oral suspension,634511000001102,AMP,0501013B0AAAJAJ
159311000001109,Amoxicillin 125mg/5ml oral suspension,159311000001109,AMP,0501013B0AAAJAJ
549011000001104,Amoxicillin 125mg/5ml oral suspension,549011000001104,AMP,0501013B0AAAJAJ
9786511000001104,Amoxicillin 125mg/5ml oral suspension,9786511000001104,AMP,0501013B0AAAJAJ
10426911000001105,Amoxicillin 125mg/5ml oral suspension,10426911000001105,AMP,0501013B0AAAJAJ
15984311000001100,Amoxicillin 125mg/5ml oral suspension,15984311000001100,AMP,0501013B0AAAJAJ
28943411000001109,Amoxicillin 125mg/5ml oral suspension,28943411000001109,AMP,0501013B0AAAJAJ
22609411000001107,Amoxicillin 125mg/5ml oral suspension,22609411000001107,AMP,0501013B0AAAJAJ
143211000001100,Amoxicillin 125mg/5ml oral suspension,143211000001100,AMP,0501013B0AAAJAJ
329011000001104,Amoxicillin 125mg/5ml oral suspension,329011000001104,AMP,0501013B0AAAJAJ
38785711000001100,Amoxicillin 125mg/5ml oral suspension,38785711000001100,AMP,0501013B0AAAJAJ
17781111000001106,Amoxicillin 125mg/5ml oral suspension,17781111000001106,AMP,0501013B0AAAJAJ
144711000001109,Amoxicillin 125mg/5ml oral suspension,144711000001109,AMP,0501013B0AAAJAJ
856111000001107,Amoxicillin 125mg/5ml oral suspension,856111000001107,AMP,0501013B0AAAJAJ
29769411000001106,Amoxicillin 125mg/5ml oral suspension,29769411000001106,AMP,0501013B0AAAJAJ
200311000001108,Amoxicillin 125mg/5ml oral suspension,200311000001108,AMP,0501013B0AAAJAJ
860211000001109,Amoxicillin 125mg/5ml oral suspension,860211000001109,AMP,0501013B0AAAJAJ
21766511000001109,Amoxicillin 125mg/5ml oral suspension,21766511000001109,AMP,0501013B0AAAJAJ
323733007,Amoxicillin 250mg/5ml oral suspension,323733007,VMP,0501013B0AAAKAK
819911000001107,Amoxicillin 250mg/5ml oral suspension,819911000001107,AMP,0501013B0AAAKAK
256911000001103,Amoxicillin 250mg/5ml oral suspension,256911000001103,AMP,0501013B0AAAKAK
767611000001107,Amoxicillin 250mg/5ml oral suspension,767611000001107,AMP,0501013B0AAAKAK
9786911000001106,Amoxicillin 250mg/5ml oral suspension,9786911000001106,AMP,0501013B0AAAKAK
10427411000001100,Amoxicillin 250mg/5ml oral suspension,10427411000001100,AMP,0501013B0AAAKAK
15984511000001106,Amoxicillin 250mg/5ml oral suspension,15984511000001106,AMP,0501013B0AAAKAK
28943611000001107,Amoxicillin 250mg/5ml oral suspension,28943611000001107,AMP,0501013B0AAAKAK
22609811000001109,Amoxicillin 250mg/5ml oral suspension,22609811000001109,AMP,0501013B0AAAKAK
555611000001105,Amoxicillin 250mg/5ml oral suspension,555611000001105,AMP,0501013B0AAAKAK
213311000001100,Amoxicillin 250mg/5ml oral suspension,213311000001100,AMP,0501013B0AAAKAK
38787511000001101,Amoxicillin 250mg/5ml oral suspension,38787511000001101,AMP,0501013B0AAAKAK
17781711000001107,Amoxicillin 250mg/5ml oral suspension,17781711000001107,AMP,0501013B0AAAKAK
673011000001105,Amoxicillin 250mg/5ml oral suspension,673011000001105,AMP,0501013B0AAAKAK
828811000001100,Amoxicillin 250mg/5ml oral suspension,828811000001100,AMP,0501013B0AAAKAK
15065511000001104,Amoxicillin 250mg/5ml oral suspension,15065511000001104,AMP,0501013B0AAAKAK
830011000001107,Amoxicillin 250mg/5ml oral suspension,830011000001107,AMP,0501013B0AAAKAK
568411000001107,Amoxicillin 250mg/5ml oral suspension,568411000001107,AMP,0501013B0AAAKAK
21776211000001103,Amoxicillin 250mg/5ml oral suspension,21776211000001103,AMP,0501013B0AAAKAK
35901911000001104,Amoxicillin 125mg/5ml oral suspension sugar free,35901911000001104,VMP,0501013B0AAASAS
756511000001100,Amoxicillin 125mg/5ml oral suspension sugar free,756511000001100,AMP,0501013B0AAASAS
623711000001108,Amoxicillin 125mg/5ml oral suspension sugar free,623711000001108,AMP,0501013B0AAASAS
264811000001108,Amoxicillin 125mg/5ml oral suspension sugar free,264811000001108,AMP,0501013B0AAASAS
9787111000001106,Amoxicillin 125mg/5ml oral suspension sugar free,9787111000001106,AMP,0501013B0AAASAS
10428011000001105,Amoxicillin 125mg/5ml oral suspension sugar free,10428011000001105,AMP,0501013B0AAASAS
15984711000001101,Amoxicillin 125mg/5ml oral suspension sugar free,15984711000001101,AMP,0501013B0AAASAS
22609611000001105,Amoxicillin 125mg/5ml oral suspension sugar free,22609611000001105,AMP,0501013B0AAASAS
69611000001101,Amoxicillin 125mg/5ml oral suspension sugar free,69611000001101,AMP,0501013B0AAASAS
416211000001100,Amoxicillin 125mg/5ml oral suspension sugar free,416211000001100,AMP,0501013B0AAASAS
29993911000001107,Amoxicillin 125mg/5ml oral suspension sugar free,29993911000001107,AMP,0501013B0AAASAS
38785511000001105,Amoxicillin 125mg/5ml oral suspension sugar free,38785511000001105,AMP,0501013B0AAASAS
35852611000001101,Amoxicillin 125mg/5ml oral suspension sugar free,35852611000001101,AMP,0501013B0AAASAS
17781911000001109,Amoxicillin 125mg/5ml oral suspension sugar free,17781911000001109,AMP,0501013B0AAASAS
35591711000001109,Amoxicillin 125mg/5ml oral suspension sugar free,35591711000001109,AMP,0501013B0AAASAS
709111000001109,Amoxicillin 125mg/5ml oral suspension sugar free,709111000001109,AMP,0501013B0AAASAS
29764511000001106,Amoxicillin 125mg/5ml oral suspension sugar free,29764511000001106,AMP,0501013B0AAASAS
222511000001108,Amoxicillin 125mg/5ml oral suspension sugar free,222511000001108,AMP,0501013B0AAASAS
311000001109,Amoxicillin 125mg/5ml oral suspension sugar free,311000001109,AMP,0501013B0AAASAS
